iter	Passed	Remaining
635	20105	11507
636	20131	11471
637	20156	11436
638	20183	11402
639	20206	11366
640	20234	11332
641	20258	11297
642	20283	11261
643	20309	11227
644	20335	11192
645	20358	11156
646	20384	11121
647	20409	11086
648	20437	11053
649	20463	11019
650	20487	10983
651	20517	10951
652	20553	10922
653	20585	10890
654	20613	10857
655	20637	10822
656	20660	10786
657	20682	10749
658	20704	10713
659	20732	10680
660	20753	10643
661	20775	10607
662	20799	10572
663	20822	10536
664	20842	10499
665	20866	10464
666	20888	10428
667	20908	10391
668	20932	10356
669	20955	10321
670	20975	10284
671	20997	10248
672	21020	10213
673	21043	10178
674	21064	10142
675	21088	10107
676	21111	10072
677	21133	10036
678	21153	10000
679	21178	9966
680	21199	9930
681	21221	9895
682	21245	9860
683	21267	9825
684	21287	9789
685	21311	9754
686	21334	9720
687	21356	9685
688	21378	9649
689	21402	9615
690	21425	9581
691	21447	9545
692	21467	9510
693	21491	9476
694	21512	9440
695	21533	9405
696	21556	9371
697	21581	9337
698	21601	9302
699	21625	9267
700	21647	9233
701	21667	9197
702	21691	9164
703	21714	9129
704	21737	9095
705	21760	9061
706	21780	9026
707	21802	8992
708	21825	8958
709	21847	8923
710	21874	8891
711	21895	8856
712	21919	8823
713	21942	8789
714	21962	8754
715	21987	8721
716	22010	8687
717	22034	8654
718	22056	8620
719	22080	8586
720	22107	8554
721	22133	8522
722	22160	8490
723	22184	8457
724	22208	8423
725	22231	8390
726	22258	8358
727	22289	8327
728	22317	8296
729	22343	8263
730	22374	8233
731	22403	8202
732	22427	8169
733	22451	8136
734	22480	8105
735	22505	8072
736	22527	8039
737	22554	8007
738	22576	7973
739	22599	7940
740	22622	7907
741	22645	7873
742	22668	7840
743	22691	7807
744	22714	7774
745	22741	7742
746	22773	7713
747	22801	7681
748	22829	7650
749	22852	7617
750	22872	7583
751	22893	7549
752	22917	7517
753	22943	7485
754	22968	7453
755	22988	7419
756	23012	7386
757	23035	7354
758	23056	7320
759	23077	7287
760	23100	7254
761	23123	7222
762	23143	7188
763	23170	7157
764	23189	7123
765	23212	7091
766	23235	7058
767	23254	7024
768	23278	6992
769	23301	6960
770	23325	6927
771	23347	6895
772	23369	6862
773	23392	6830
774	23413	6797
775	23438	6765
776	23458	6732
777	23480	6700
778	23500	6667
779	23523	6634
780	23550	6603
781	23569	6570
782	23591	6538
783	23614	6506
784	23636	6473
785	23657	6440
786	23681	6409
787	23702	6376
788	23723	6344
789	23750	6313
790	23770	6280
791	23789	6247
792	23813	6216
793	23834	6183
794	23856	6151
795	23879	6119
796	23902	6088
797	23923	6055
798	23950	6025
799	23971	5992
800	23995	5961
801	24017	5929
802	24045	5898
803	24084	5871
804	24121	5843
805	24164	5816
806	24201	5788
807	24239	5759
808	24280	5732
809	24319	5704
810	24360	5677
811	24398	5648
812	24437	5620
813	24477	5593
814	24515	5564
815	24549	5535
816	24585	5506
817	24617	5477
818	24650	5447
819	24685	5418
820	24719	5389
821	24755	5360
822	24790	5331
823	24827	5302
824	24873	5276
825	24908	5246
826	24952	5219
827	24989	5191
828	25031	5163
829	25066	5134
830	25098	5104
831	25137	5075
832	25177	5047
833	25218	5019
834	25261	4991
835	25302	4963
836	25344	4935
837	25386	4907
838	25424	4878
839	25447	4847
840	25470	4815
841	25490	4783
842	25511	4751
843	25537	4720
844	25557	4687
845	25579	4656
846	25602	4624
847	25624	4593
848	25646	4561
849	25668	4529
850	25690	4498
851	25711	4466
852	25734	4434
853	25758	4403
854	25780	4372
855	25802	4340
856	25823	4308
857	25847	4277
858	25867	4246
859	25887	4214
860	25909	4182
861	25934	4151
862	25956	4120
863	25983	4089
864	26011	4059
865	26035	4028
866	26059	3997
867	26084	3966
868	26112	3936
869	26139	3905
870	26163	3874
871	26191	3844
872	26216	3813
873	26242	3783
874	26269	3752
875	26297	3722
876	26325	3692
877	26349	3661
878	26376	3630
879	26401	3600
880	26429	3569
881	26449	3538
882	26470	3507
883	26494	3476
884	26518	3445
885	26541	3415
886	26562	3383
887	26587	3353
888	26608	3322
889	26632	3291
890	26655	3260
891	26676	3229
892	26698	3199
893	26725	3168
894	26747	3138
895	26771	3107
896	26793	3076
897	26812	3045
898	26836	3015
899	26860	2984
900	26886	2954
901	26923	2925
902	26961	2896
903	26996	2866
904	27030	2837
905	27067	2808
906	27100	2778
907	27139	2749
908	27185	2721
909	27227	2692
910	27273	2664
911	27310	2635
912	27344	2605
913	27379	2576
914	27417	2547
915	27454	2517
916	27490	2488
917	27526	2458
918	27563	2429
919	27599	2399
920	27634	2370
921	27669	2340
922	27705	2311
923	27738	2281
924	27772	2251
925	27809	2222
926	27843	2192
927	27876	2162
928	27914	2133
929	27951	2103
930	27985	2074
931	28023	2044
932	28056	2014
933	28090	1984
934	28131	1955
935	28169	1926
936	28208	1896
937	28250	1867
938	28296	1838
939	28341	1809
940	28385	1779
941	28429	1750
942	28474	1721
943	28500	1690
944	28525	1660
945	28550	1629
946	28576	1599
947	28598	1568
948	28620	1538
949	28643	1507
950	28665	1476
951	28687	1446
952	28714	1416
953	28737	1385
954	28761	1355
955	28781	1324
956	28806	1294
957	28827	1263
958	28854	1233
959	28875	1203
960	28897	1172
961	28922	1142
962	28948	1112
963	28972	1081
964	28994	1051
965	29018	1021
966	29041	991
967	29064	960
968	29087	930
969	29113	900
970	29135	870
971	29160	840
972	29182	809
973	29205	779
974	29226	749
975	29254	719
976	29279	689
977	29305	659
978	29325	629
979	29348	598
980	29373	568
981	29405	538
982	29434	509
983	29458	478
984	29484	448
985	29513	419
986	29536	389
987	29558	359
988	29580	329
989	29604	299
990	29628	269
991	29654	239
992	29678	209
993	29702	179
994	29723	149
995	29747	119
996	29768	89
997	29791	59
998	29814	29
999	29836	0
